Indicator,Data Name,Year added,Last Methods Update,2017,2018,2019,2020,2021,2022,2023,Link to Methods
ABC or ACL for MA Managed Species,abc.acl,2022,2022,N,N,N,N,N,Y,,https://noaa-edab.github.io/tech-doc/mafmc-abcacl-and-catch.html#mafmc-abcacl-and-catch
Aggregate Group Biomass,aggregate_biomass,2018,2020,N,Y,Y,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/aggroups.html
Aquaculture,aquaculture,2017,2019,Y,Y,Y,N,Y,Y,,https://noaa-edab.github.io/tech-doc/aquaculture.html
Bennet Index,bennet,2018,2018,N,Y,Y,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/bennet-indicator.html
Blue Runner Presense on NES,blue_runner,2020,2020,N,N,N,Y,N,N,,https://noaa-edab.github.io/tech-doc/safmc-managed-spp.html
Bottom heatwaves,bottom_heatwave,2023,2023,N,N,N,N,N,N,,
Bottom Temperature,bottom_temp_insitu,2019,2019,N,N,Y,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/bottom-temperatures.html
Calanus Stage,calanus_stage,2020,2020,N,N,N,Y,N,N,,https://noaa-edab.github.io/tech-doc/calanus-stage.html#calanus-stage
Chesapeake Bay Sea Surface Temperature,ches_bay_sst,2022,2022,N,N,N,N,N,Y,,https://noaa-edab.github.io/tech-doc/chesapeake-bay-seasonal-sst-anomalies.html#chesapeake-bay-seasonal-sst-anomalies
Chesapeake Bay Temperature,ches_bey_temp,2021,2021,N,N,N,N,Y,Y,,https://noaa-edab.github.io/tech-doc/chesapeake-bay-salinity-and-temperature.html#chesapeake-bay-salinity-and-temperature
Chesapeake Bay Water Quality,ches_bay_wq,2019,2019,N,N,Y,N,N,Y,,https://noaa-edab.github.io/tech-doc/chesapeake-bay-water-quality-standards-attainment.html
Chlorophyll and Primary Production,chl_pp,2018,2018,N,Y,Y,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/chl-pp.html
Chesapeake Bay Salinity,ch_bay_sal,2020,2020,N,N,N,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/chesapeake-bay-salinity-and-temperature.html#chesapeake-bay-salinity-and-temperature
Cold Pool Index,cold_pool,2020,2020,N,N,N,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/cold-pool-index.html
Commercial Fisheries,comdat,2017,2017,Y,Y,Y,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/comdat.html
Commercial Fisheries Diversity,commercial_div,2018,2018,N,Y,N,N,Y,Y,,https://noaa-edab.github.io/tech-doc/catch-and-fleet-diversity.html
Forage Fish Energy Density,energy_density,2020,2020,N,N,N,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/forage-fish-energy-density.html
Community Engagement,engagement,2019,2020 (shift to timeseries) ,N,Y,Y,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/community-engagement.html
Expected Number of Species per 1000 individuals,exp_n,2021,2021,N,N,N,N,Y,Y,,https://noaa-edab.github.io/tech-doc/expected-number-of-species.html#expected-number-of-species
Forage Anomaly,forage_anomaly,2022,2022,N,N,N,N,N,Y,,
Gray Seal Bycatch,grayseal,2021,2021,N,N,N,N,Y,N,,https://noaa-edab.github.io/tech-doc/harbor-porpoise-and-gray-seal-bycatch.html#harbor-porpoise-and-gray-seal-bycatch
Gulf Stream Index,gsi,2019,2020 (shift to Perez-Hernandez and Joyce 2014 methodology),N,N,Y,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/gulf-stream-index.html
Habitat Vulnerability Analysis,habitat_vulnerability,2021,2021,N,N,N,N,Y,N,,https://noaa-edab.github.io/tech-doc/habitat-vulnerability.html#habitat-vulnerability
Harbor Porpoise Abundance,harborporpoise,2018,2018,N,Y,Y,N,Y,N,,https://noaa-edab.github.io/tech-doc/harbor-porpoise-bycatch.html
Marine Heatwave,heatwave,2020,2020,N,N,N,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/marine-heatwave.html
Highly Migratory Species Catch per Unit Effort,hms_cpue,2022,2022,N,N,N,N,N,Y,,https://noaa-edab.github.io/tech-doc/atlantic-hms-pop-cpue.html#atlantic-hms-pop-cpue
Highly Migratory Species Landings,hms_landings,2020,2020,N,N,N,Y,Y,Y,,https://noaa-edab.github.io/tech-doc/highly-migratory-species-landings.html
Highly Migratory Species Stock Status,hms_stock_status,2022,2022,N,N,N,N,N,Y,,https://noaa-edab.github.io/tech-doc/atlantic-highly-migratory-species-stock-status.html#atlantic-highly-migratory-species-stock-status
