YEAR,MONTH,INDEX
1950,1,0.56
1950,2,0.01
1950,3,-0.78
1950,4,0.65
1950,5,-0.5
1950,6,0.25
1950,7,-1.23
1950,8,-0.19
1950,9,0.39
1950,10,1.43
1950,11,-1.46
1950,12,-1.03
1951,1,-0.42
1951,2,0.35
1951,3,-1.47
1951,4,-0.38
1951,5,-0.5
1951,6,-1.35
1951,7,1.39
1951,8,-0.41
1951,9,-1.18
1951,10,2.54
1951,11,-0.54
1951,12,1.13
1952,1,0.57
1952,2,-1.38
1952,3,-1.97
1952,4,0.95
1952,5,-0.99
1952,6,-0.1
1952,7,-0.06
1952,8,-0.49
1952,9,-0.38
1952,10,-0.28
1952,11,-1.32
1952,12,-0.49
1953,1,-0.12
1953,2,-1
1953,3,-0.45
1953,4,-1.96
1953,5,-0.56
1953,6,1.41
1953,7,0.43
1953,8,-1.04
1953,9,-0.19
1953,10,1.95
1953,11,0.96
1953,12,-0.52
1954,1,-0.08
1954,2,0.4
1954,3,-1.27
1954,4,1.31
1954,5,-0.03
1954,6,0.06
1954,7,-0.57
1954,8,-2.57
1954,9,-0.28
1954,10,1.16
1954,11,0.29
1954,12,0.55
1955,1,-2.65
1955,2,-1.71
1955,3,-0.96
1955,4,-0.6
1955,5,-0.26
1955,6,-0.8
1955,7,1.78
1955,8,1.25
1955,9,0.46
1955,10,-1.09
1955,11,-1.49
1955,12,0.07
1956,1,-0.76
1956,2,-1.71
1956,3,-0.46
1956,4,-1.3
1956,5,2.1
1956,6,0.41
1956,7,-0.72
1956,8,-1.89
1956,9,0.38
1956,10,1.47
1956,11,0.4
1956,12,0
1957,1,0.71
1957,2,-0.32
1957,3,-1.73
1957,4,0.39
1957,5,-0.68
1957,6,-0.42
1957,7,-1.16
1957,8,-0.83
1957,9,-1.47
1957,10,1.95
1957,11,0.63
1957,12,0.02
1958,1,-1.14
1958,2,-1.64
1958,3,-2.46
1958,4,0.26
1958,5,-0.17
1958,6,-1.08
1958,7,-1.69
1958,8,-2.13
1958,9,0.08
1958,10,0.68
1958,11,1.59
1958,12,-0.74
1959,1,-1.52
1959,2,0.33
1959,3,-0.56
1959,4,0.25
1959,5,0.41
1959,6,0.71
1959,7,0.77
1959,8,-0.05
1959,9,1
1959,10,1.48
1959,11,0.3
1959,12,0.32
1960,1,-2.01
1960,2,-2.59
1960,3,-0.93
1960,4,1.33
1960,5,0.47
1960,6,0.1
1960,7,0.38
1960,8,-1.93
1960,9,0.53
1960,10,-1.37
1960,11,-0.67
1960,12,-0.03
1961,1,-0.03
1961,2,0.07
1961,3,0.17
1961,4,-1.83
1961,5,-0.28
1961,6,1.17
1961,7,-0.36
1961,8,1.03
1961,9,1.36
1961,10,1.07
1961,11,-0.79
1961,12,-1.46
1962,1,0.2
1962,2,0.18
1962,3,-2.99
1962,4,0.93
1962,5,-0.04
1962,6,0.47
1962,7,-2.43
1962,8,0.05
1962,9,-0.21
1962,10,0.96
1962,11,-0.38
1962,12,-1.31
1963,1,-2.98
1963,2,-1.53
1963,3,-0.85
1963,4,-1.61
1963,5,2.05
1963,6,-0.13
1963,7,-0.74
1963,8,-0.95
1963,9,1.89
1963,10,1.53
1963,11,-1.47
1963,12,-1.87
1964,1,-1.62
1964,2,-2.06
1964,3,-1.66
1964,4,0.25
1964,5,0.53
1964,6,1.61
1964,7,1.92
1964,8,-2.4
1964,9,0.34
1964,10,1.32
1964,11,-0.14
1964,12,-0.23
1965,1,-0.65
1965,2,-2.2
1965,3,-1.99
1965,4,0.64
1965,5,-0.52
1965,6,0.6
1965,7,0.35
1965,8,0.45
1965,9,0.51
1965,10,0.92
1965,11,-1.88
1965,12,1.18
1966,1,-2.54
1966,2,-2.02
1966,3,0.18
1966,4,-0.96
1966,5,0.25
1966,6,1.37
1966,7,0.35
1966,8,-2.39
1966,9,-0.29
1966,10,-0.23
1966,11,-0.18
1966,12,0.58
1967,1,-1.55
1967,2,-0.23
1967,3,1.18
1967,4,0.05
1967,5,-0.87
1967,6,1.72
1967,7,0.44
1967,8,1.73
1967,9,1.05
1967,10,0.59
1967,11,0.5
1967,12,-0.51
1968,1,-0.36
1968,2,-1.91
1968,3,0.02
1968,4,-1.32
1968,5,-1.58
1968,6,0.64
1968,7,-0.77
1968,8,-0.97
1968,9,-1.73
1968,10,-1.99
1968,11,-1.11
1968,12,-1.39
1969,1,-1.48
1969,2,-2.2
1969,3,-2.04
1969,4,1.52
1969,5,0.56
1969,6,0.86
1969,7,0.6
1969,8,-1.99
1969,9,2.17
1969,10,1.23
1969,11,-1.14
1969,12,-0.35
1970,1,-2.26
1970,2,0.28
1970,3,-1.41
1970,4,-1.56
1970,5,1.11
1970,6,1.87
1970,7,0.13
1970,8,0
1970,9,0.06
1970,10,-0.49
1970,11,-0.76
1970,12,-1.2
1971,1,-1.82
1971,2,-0.17
1971,3,-1.28
1971,4,-0.41
1971,5,0.51
1971,6,-1.28
1971,7,0.27
1971,8,1.87
1971,9,0.53
1971,10,1.14
1971,11,-0.34
1971,12,0.47
1972,1,-0.19
1972,2,-0.08
1972,3,0.35
1972,4,-0.38
1972,5,0.93
1972,6,1.19
1972,7,0.21
1972,8,1.57
1972,9,0.03
1972,10,1.7
1972,11,0.43
1972,12,0.09
1973,1,-0.46
1973,2,0.52
1973,3,-0.09
1973,4,-0.73
1973,5,-0.36
1973,6,0.7
1973,7,0.6
1973,8,-0.2
1973,9,-0.15
1973,10,-0.84
1973,11,-1.11
1973,12,0.21
1974,1,1.05
1974,2,-0.6
1974,3,-0.43
1974,4,0.41
1974,5,-0.17
1974,6,0.17
1974,7,-0.73
1974,8,-0.95
1974,9,0.95
1974,10,1.04
1974,11,-0.7
1974,12,1.3
1975,1,0.17
1975,2,-1.15
1975,3,-1.04
1975,4,-1.89
1975,5,-0.43
1975,6,-0.54
1975,7,1.57
1975,8,-0.46
1975,9,1.67
1975,10,-0.08
1975,11,0.3
1975,12,-0.09
1976,1,-0.8
1976,2,0.61
1976,3,0.38
1976,4,0.14
1976,5,0.94
1976,6,1.11
1976,7,-0.29
1976,8,2.34
1976,9,-1.11
1976,10,0.42
1976,11,0.04
1976,12,-1.57
1977,1,-1.72
1977,2,-1
1977,3,-1.25
1977,4,0.56
1977,5,-0.75
1977,6,-0.27
1977,7,-0.42
1977,8,-0.49
1977,9,0.51
1977,10,1.08
1977,11,-0.21
1977,12,-1.02
1978,1,0.26
1978,2,-2.94
1978,3,0.33
1978,4,-1.42
1978,5,1.05
1978,6,1.7
1978,7,-1.11
1978,8,0.7
1978,9,0.6
1978,10,2.61
1978,11,3.06
1978,12,-1.54
1979,1,-2.12
1979,2,-1.2
1979,3,0.41
1979,4,-2.01
1979,5,-0.9
1979,6,1.92
1979,7,0.86
1979,8,1.11
1979,9,1.13
1979,10,0.18
1979,11,0.42
1979,12,0.84
1980,1,-1.38
1980,2,-0.39
1980,3,-0.73
1980,4,1.26
1980,5,-1.34
1980,6,-0.07
1980,7,-0.39
1980,8,-3.01
1980,9,0.79
1980,10,-1.41
1980,11,-0.52
1980,12,0.63
1981,1,-0.08
1981,2,0.6
1981,3,-1.65
1981,4,0.25
1981,5,0.24
1981,6,-0.15
1981,7,0.08
1981,8,0.38
1981,9,-1.27
1981,10,-0.96
1981,11,-0.53
1981,12,-0.11
1982,1,-1.55
1982,2,0.86
1982,3,0.8
1982,4,-0.04
1982,5,-0.44
1982,6,-1.34
1982,7,1.18
1982,8,0.21
1982,9,1.86
1982,10,-0.29
1982,11,1.55
1982,12,1.56
1983,1,1.34
1983,2,-1.04
1983,3,0.59
1983,4,-1.07
1983,5,-0.01
1983,6,1.31
1983,7,1.22
1983,8,1.95
1983,9,-0.95
1983,10,1.22
1983,11,-1.16
1983,12,0.18
1984,1,1.42
1984,2,0.37
1984,3,-0.79
1984,4,-0.45
1984,5,0.55
1984,6,-0.12
1984,7,-0.04
1984,8,1.35
1984,9,0.31
1984,10,0.43
1984,11,-0.2
1984,12,-0.09
1985,1,-2.38
1985,2,-1
1985,3,-0.19
1985,4,0.2
1985,5,-0.4
1985,6,-0.5
1985,7,1.25
1985,8,-0.74
1985,9,-0.36
1985,10,1.49
1985,11,-0.84
1985,12,0.11
1986,1,0.78
1986,2,-1.58
1986,3,1.39
1986,4,-0.79
1986,5,0.84
1986,6,1.54
1986,7,0.15
1986,8,-1.53
1986,9,-0.95
1986,10,2.2
1986,11,2.27
1986,12,0.83
1987,1,-1.85
1987,2,-1.27
1987,3,-0.26
1987,4,2.03
1987,5,0.96
1987,6,-1.53
1987,7,0.55
1987,8,-1.19
1987,9,-1.04
1987,10,0.66
1987,11,0.06
1987,12,0.21
1988,1,0.68
1988,2,0.42
1988,3,-0.58
1988,4,-1.42
1988,5,0.64
1988,6,1.19
1988,7,-0.32
1988,8,-0.07
1988,9,-0.82
1988,10,-0.66
1988,11,-0.49
1988,12,0.48
1989,1,0.85
1989,2,1.82
1989,3,1.54
1989,4,0.16
1989,5,1.33
1989,6,0.03
1989,7,1
1989,8,-0.11
1989,9,2.15
1989,10,0.48
1989,11,0.03
1989,12,-1.15
1990,1,0.7
1990,2,1.16
1990,3,1.13
1990,4,2.03
1990,5,-1.37
1990,6,0.29
1990,7,0.56
1990,8,1.12
1990,9,1.18
1990,10,0.76
1990,11,-0.39
1990,12,0.11
1991,1,0.49
1991,2,0.74
1991,3,-0.61
1991,4,0.17
1991,5,0.12
1991,6,-0.52
1991,7,-0.46
1991,8,1.46
1991,9,0.61
1991,10,0.3
1991,11,0.37
1991,12,0.34
1992,1,-0.66
1992,2,0.77
1992,3,0.51
1992,4,1.88
1992,5,2.49
1992,6,0.51
1992,7,0.19
1992,8,0.97
1992,9,-0.28
1992,10,-1.4
1992,11,1.12
1992,12,0.35
1993,1,1.35
1993,2,0.12
1993,3,0.3
1993,4,0.91
1993,5,-0.67
1993,6,-0.29
1993,7,-3.14
1993,8,0.03
1993,9,-0.41
1993,10,-0.26
1993,11,2.56
1993,12,1.36
1994,1,0.7
1994,2,0.08
1994,3,0.92
1994,4,1.1
1994,5,-0.48
1994,6,1.84
1994,7,1.34
1994,8,0.36
1994,9,-1.14
1994,10,-0.54
1994,11,0.54
1994,12,1.78
1995,1,0.57
1995,2,0.85
1995,3,0.91
1995,4,-1.07
1995,5,-1.33
1995,6,0.44
1995,7,-0.19
1995,8,0.76
1995,9,0.45
1995,10,0.72
1995,11,-1.59
1995,12,-1.64
1996,1,-0.65
1996,2,-0.52
1996,3,-0.66
1996,4,-0.33
1996,5,-0.93
1996,6,0.87
1996,7,0.7
1996,8,1.19
1996,9,-0.69
1996,10,0.15
1996,11,-0.72
1996,12,-1.4
1997,1,-1.08
