No,Entity Name,Science Center,Assessment Year,Last Data Year,Assessment Level,Citation,Comments,Best F,F Year,Flimit,Fmsy,F/Flimit,F/Fmsy,Best B,B Year,B/Blimit,B/Bmsy,Stock Level Relative to Bmsy,Bmsy,Blim
1,Atlantic mackerel - Gulf of Maine / Cape Hatteras,NEFSC,1999,1998,4,SARC 30 Report (1999),,,,,,,,,,,,,,
2,Atlantic mackerel - Gulf of Maine / Cape Hatteras,NEFSC,2005,2004,4,SARC 42 Report (2006),,,,,,0.31,,,,,3.57,,,
3,Atlantic mackerel - Gulf of Maine / Cape Hatteras,NEFSC,2010,2008,4,TRAC Status Report 2010/01,B & F values are indicative of trend only within the context of their time series. BRPs were computed but rejected,,2008,,,,,,2008,,,UNKNOWN,,
4,Atlantic mackerel - Gulf of Maine / Cape Hatteras,NEFSC,2017,2016,,SARC 64 Assessment Summary,,0.47,2016,0.26,0.26,1.807692308,1.807692308,43519,2016,,0.442055116,,98447,
5,Butterfish - Gulf of Maine / Cape Hatteras,NEFSC,2003,2002,2,SARC 38 Report (2004),,,,,,,,,,,,,,
6,Butterfish - Gulf of Maine / Cape Hatteras,NEFSC,2009,2008,4,NEFSC CRD 10-01 (2010),,0.02,2008,,,,,45000,2008,,,UNKNOWN,,
7,Butterfish - Gulf of Maine / Cape Hatteras,NEFSC,2014,2012,5,NEFSC CRD 14-03 (2014),"The 2014 assessment was accepted. It was based on a new model, and produced new stock status. Status was formerly unknown, but is now improved to: not overfishing, not overfished, and rebuilt. In addition the assessment level was increased because the new assessment model took into account butterfish availability in relation to this species thermal habitat.",0.02,2012,0.81,0.81,0.025,0.025,79451,2012,3.483,1.742,ABOVE,,
8,Butterfish - Gulf of Maine / Cape Hatteras,,2017,,,Butterfish 2017 SA update,,0.05,2016,0.81,0.81,0.061728395,0.061728395,64376,2016,2.822518415,1.411259207,,,
9,Longfin inshore squid - Georges Bank / Cape Hatteras,NEFSC,2001,2000,3,SARC 33 Report (2001),,,,,,,,,,,,,,
10,Longfin inshore squid - Georges Bank / Cape Hatteras,NEFSC,2011,2009,1,NEFSC CRD 11-01 (2011),,0.176,2009,,,,,54442,2009,2.568,1.284,ABOVE,,
