Parm,Year,LCL,Median,UCL
N[1],1990,265,269,285
N[2],1991,264,270,277
N[3],1992,275,281,287
N[4],1993,276,280,285
N[5],1994,284,287,290
N[6],1995,288,290,294
N[7],1996,302,306,309
N[8],1997,311,314,317
N[9],1998,310,313,317
N[10],1999,307,310,313
N[11],2000,311,313,315
N[12],2001,331,332,335
N[13],2002,352,353,356
N[14],2003,360,362,364
N[15],2004,371,373,376
N[16],2005,391,392,394
N[17],2006,401,403,406
N[18],2007,415,416,418
N[19],2008,442,444,447
N[20],2009,462,464,467
N[21],2010,477,481,484
N[22],2011,476,480,484
N[23],2012,474,480,486
N[24],2013,468,476,484
N[25],2014,461,469,478
N[26],2015,451,463,474
N[27],2016,423,438,452
N[28],2017,370,390,411
