"Time","Var","Value","EPU"
1977,"ctyp_100m3",-0.593933634731696,"GOM"
1977,"calfin_100m3",0.267810225581347,"GOM"
1977,"pseudo_100m3",0.319409305999408,"GOM"
1977,"tlong_100m3",-0.640716070454341,"GOM"
1977,"cham_100m3",-0.367541292305787,"GOM"
1977,"echino_100m3",-0.641454497537073,"GOM"
1977,"larvaceans_100m3",-1.16069025158901,"GOM"
1977,"para_100m3",-0.240106805919351,"GOM"
1977,"gas_100m3",-1.18175464740416,"GOM"
1977,"acarspp_100m3",-0.325420298180589,"GOM"
1977,"mlucens_100m3",0.0309495114539516,"GOM"
1977,"evadnespp_100m3",-0.435940108616558,"GOM"
1977,"oithspp_100m3",-1.1134716062955,"GOM"
1977,"chaeto_100m3",0.0603929303765165,"GOM"
1977,"hyper_100m3",-0.452470244443023,"GOM"
1977,"calminor_100m3",0.161532671454148,"GOM"
1977,"clauso",-0.964634483494126,"GOM"
1977,"dec_100m3",-0.239838231202314,"GOM"
1977,"euph_100m3",-0.411206567348396,"GOM"
1977,"poly_100m3",-0.502145760994424,"GOM"
1977,"fish_100m3",-0.0899462230612056,"GOM"
1977,"siph_100m3",-0.900348491174128,"GOM"
1977,"coel_100m3",-0.24420383817433,"GOM"
1977,"euph1_100m3",-0.852548866253615,"GOM"
1977,"thecos_100m3",-0.433856208515244,"GOM"
1977,"spirspp_100m3",-0.469621518779453,"GOM"
1978,"ctyp_100m3",-0.2858816168577,"GOM"
1978,"calfin_100m3",0.0269497168437007,"GOM"
1978,"pseudo_100m3",0.389647818053809,"GOM"
1978,"tlong_100m3",-0.717271484055773,"GOM"
1978,"cham_100m3",-0.121902664944664,"GOM"
1978,"echino_100m3",-0.318066964338343,"GOM"
1978,"larvaceans_100m3",-0.901298964968236,"GOM"
1978,"para_100m3",-0.513966306843764,"GOM"
1978,"gas_100m3",-1.11410219971584,"GOM"
1978,"acarspp_100m3",-0.306307771981806,"GOM"
1978,"mlucens_100m3",-0.255401179938601,"GOM"
1978,"evadnespp_100m3",-0.384364341611935,"GOM"
1978,"oithspp_100m3",-1.29511547640691,"GOM"
1978,"chaeto_100m3",-0.561866577111428,"GOM"
1978,"hyper_100m3",-0.0282153900217008,"GOM"
1978,"calminor_100m3",-0.0693398561805063,"GOM"
1978,"clauso",-1.13587199032712,"GOM"
1978,"dec_100m3",-0.227143052438202,"GOM"
1978,"euph_100m3",-0.447693197688167,"GOM"
1978,"poly_100m3",-0.423829696057859,"GOM"
1978,"fish_100m3",-0.157749038928569,"GOM"
1978,"siph_100m3",-0.843224689187169,"GOM"
1978,"coel_100m3",-0.254168416089167,"GOM"
1978,"euph1_100m3",-0.635830420771529,"GOM"
1978,"thecos_100m3",-0.375360602956254,"GOM"
1978,"spirspp_100m3",-0.451838599651387,"GOM"
1979,"ctyp_100m3",0.395227620654046,"GOM"
1979,"calfin_100m3",-0.0120169957112257,"GOM"
1979,"pseudo_100m3",0.179033525588504,"GOM"
1979,"tlong_100m3",-0.530230718391132,"GOM"
1979,"cham_100m3",-0.325372671295411,"GOM"
1979,"echino_100m3",0.0496582174762939,"GOM"
1979,"larvaceans_100m3",0.238292189731218,"GOM"
1979,"para_100m3",-0.0883206716671559,"GOM"
1979,"gas_100m3",1.33214255465165,"GOM"
1979,"acarspp_100m3",-0.161213628100652,"GOM"
1979,"mlucens_100m3",0.970885655456522,"GOM"
1979,"evadnespp_100m3",-0.172829881307807,"GOM"
1979,"oithspp_100m3",-0.440704996973013,"GOM"
1979,"chaeto_100m3",0.341966997252856,"GOM"
1979,"hyper_100m3",0.372876785104197,"GOM"
1979,"calminor_100m3",-0.0722136064872393,"GOM"
1979,"clauso",-0.0660653791889542,"GOM"
1979,"dec_100m3",-0.0208422071224213,"GOM"
1979,"euph_100m3",0.364084556722717,"GOM"
1979,"poly_100m3",0.0515044781758471,"GOM"
1979,"fish_100m3",0.0038277180201653,"GOM"
1979,"siph_100m3",0.928599190434452,"GOM"
1979,"coel_100m3",-0.205229078527639,"GOM"
1979,"euph1_100m3",0.201069928856656,"GOM"
1979,"thecos_100m3",-0.374467651381691,"GOM"
1979,"spirspp_100m3",1.32956694016663,"GOM"
1980,"ctyp_100m3",0.349867735891668,"GOM"
1980,"calfin_100m3",-0.0478557635977377,"GOM"
1980,"pseudo_100m3",0.0584513274532217,"GOM"
1980,"tlong_100m3",-0.376262722493712,"GOM"
1980,"cham_100m3",-0.193144591486601,"GOM"
