"Time","Var","Value","EPU","Units"
2003,"Permit revenue species diversity",2.0006442,"MA","effective Shannon"
2004,"Permit revenue species diversity",1.9996694,"MA","effective Shannon"
2005,"Permit revenue species diversity",1.9035742,"MA","effective Shannon"
2006,"Permit revenue species diversity",1.9940751,"MA","effective Shannon"
2007,"Permit revenue species diversity",2.0241811,"MA","effective Shannon"
2008,"Permit revenue species diversity",1.9623826,"MA","effective Shannon"
2009,"Permit revenue species diversity",2.0297868,"MA","effective Shannon"
2010,"Permit revenue species diversity",2.0239432,"MA","effective Shannon"
2011,"Permit revenue species diversity",1.9864877,"MA","effective Shannon"
2012,"Permit revenue species diversity",2.0075657,"MA","effective Shannon"
2013,"Permit revenue species diversity",2.0557737,"MA","effective Shannon"
2014,"Permit revenue species diversity",2.0401521,"MA","effective Shannon"
2015,"Permit revenue species diversity",2.080348,"MA","effective Shannon"
2016,"Permit revenue species diversity",1.9903233,"MA","effective Shannon"
2017,"Permit revenue species diversity",2.0536771,"MA","effective Shannon"
2018,"Permit revenue species diversity",2.0320818,"MA","effective Shannon"
2019,"Permit revenue species diversity",2.0363564,"MA","effective Shannon"
2020,"Permit revenue species diversity",2.0094934,"MA","effective Shannon"
2021,"Permit revenue species diversity",1.9705758,"MA","effective Shannon"
2022,"Permit revenue species diversity",1.9844779,"MA","effective Shannon"
2023,"Permit revenue species diversity",2.0677834,"MA","effective Shannon"
2003,"Permit revenue species diversity",1.8711994,"NE","effective Shannon"
2004,"Permit revenue species diversity",1.900383,"NE","effective Shannon"
2005,"Permit revenue species diversity",1.8043107,"NE","effective Shannon"
2006,"Permit revenue species diversity",1.8800555,"NE","effective Shannon"
2007,"Permit revenue species diversity",1.9547284,"NE","effective Shannon"
2008,"Permit revenue species diversity",1.8951821,"NE","effective Shannon"
2009,"Permit revenue species diversity",1.9454165,"NE","effective Shannon"
2010,"Permit revenue species diversity",1.9694955,"NE","effective Shannon"
2011,"Permit revenue species diversity",1.9317105,"NE","effective Shannon"
2012,"Permit revenue species diversity",1.9495745,"NE","effective Shannon"
2013,"Permit revenue species diversity",1.9419872,"NE","effective Shannon"
2014,"Permit revenue species diversity",1.9777232,"NE","effective Shannon"
2015,"Permit revenue species diversity",1.9529346,"NE","effective Shannon"
2016,"Permit revenue species diversity",1.8657919,"NE","effective Shannon"
2017,"Permit revenue species diversity",1.890451,"NE","effective Shannon"
2018,"Permit revenue species diversity",1.8454958,"NE","effective Shannon"
2019,"Permit revenue species diversity",1.8403351,"NE","effective Shannon"
2020,"Permit revenue species diversity",1.7538692,"NE","effective Shannon"
