"Value","Time","ESP","Var","Units"
0.571171768765245,2019,"acadian_redfish_both","winter","mg m^-3"
0.704953855516337,2018,"acadian_redfish_both","winter","mg m^-3"
0.590318176364768,2017,"acadian_redfish_both","winter","mg m^-3"
0.675715847115707,2016,"acadian_redfish_both","winter","mg m^-3"
0.597513101295369,2015,"acadian_redfish_both","winter","mg m^-3"
0.617661262640996,2014,"acadian_redfish_both","winter","mg m^-3"
0.624323673025921,2013,"acadian_redfish_both","winter","mg m^-3"
0.749276527932694,2012,"acadian_redfish_both","winter","mg m^-3"
0.690309727748637,2011,"acadian_redfish_both","winter","mg m^-3"
0.64468742566171,2010,"acadian_redfish_both","winter","mg m^-3"
0.594367741042995,2009,"acadian_redfish_both","winter","mg m^-3"
0.575738764817067,2008,"acadian_redfish_both","winter","mg m^-3"
0.611321056345307,2007,"acadian_redfish_both","winter","mg m^-3"
0.703736163338051,2006,"acadian_redfish_both","winter","mg m^-3"
0.567376146160951,2005,"acadian_redfish_both","winter","mg m^-3"
0.601455468543843,2004,"acadian_redfish_both","winter","mg m^-3"
0.564967538752235,2003,"acadian_redfish_both","winter","mg m^-3"
0.540831084835009,2002,"acadian_redfish_both","winter","mg m^-3"
0.6043674043656,2001,"acadian_redfish_both","winter","mg m^-3"
0.59076269971603,2000,"acadian_redfish_both","winter","mg m^-3"
0.684447426447103,1999,"acadian_redfish_both","winter","mg m^-3"
0.542200697949987,1998,"acadian_redfish_both","winter","mg m^-3"
0.852673282181943,2019,"acadian_redfish_both","spring","mg m^-3"
0.925984459784785,2018,"acadian_redfish_both","spring","mg m^-3"
0.83316980809721,2017,"acadian_redfish_both","spring","mg m^-3"
1.00076602025171,2016,"acadian_redfish_both","spring","mg m^-3"
0.798036750158512,2015,"acadian_redfish_both","spring","mg m^-3"
0.933758150392661,2014,"acadian_redfish_both","spring","mg m^-3"
0.808811845054759,2013,"acadian_redfish_both","spring","mg m^-3"
1.04193179637049,2012,"acadian_redfish_both","spring","mg m^-3"
1.05133976566623,2011,"acadian_redfish_both","spring","mg m^-3"
