YEAR,EPU,SHKGROUP,NSHARK_HAUL
1994,GB,Prohibited,0.009090909
1994,GB,Lg Coastal,0.095454545
1994,GB,Pelagic,0.087603306
1994,GOM,Prohibited,0.00134151
1994,GOM,Pelagic,0.010732081
1994,MAB,Pelagic,0.09060349
1994,MAB,Lg Coastal,0.015847607
1994,MAB,Prohibited,0.023851449
1994,SS,Pelagic,0.002155172
1995,GB,Sm Coastal,0.000506329
1995,GB,Pelagic,0.264303797
1995,GB,Lg Coastal,0.016708861
1995,GB,Prohibited,0.021772152
1995,GOM,Prohibited,0.000194212
1995,GOM,Pelagic,0.012041173
1995,MAB,Sm Coastal,0.000602555
1995,MAB,Prohibited,0.019161244
1995,MAB,Pelagic,0.048565919
1995,MAB,Lg Coastal,0.149313087
1996,GB,Prohibited,0.006671609
1996,GB,Pelagic,0.040276748
1996,GOM,Prohibited,0.000474496
1996,GOM,Pelagic,0.013285884
1996,MAB,Sm Coastal,0.004039168
1996,MAB,Lg Coastal,0.041003672
1996,MAB,Prohibited,0.017135863
1996,MAB,Pelagic,0.005752754
1997,GB,Pelagic,0.048979592
1997,GB,Lg Coastal,0.000816327
1997,GB,Prohibited,0.000816327
1997,GOM,Pelagic,0.011691542
1997,GOM,Prohibited,0.001492537
1997,MAB,Pelagic,0.007304824
1997,MAB,Prohibited,0.00395678
1997,MAB,Lg Coastal,0.014153097
1997,MAB,Sm Coastal,0.005022067
1998,GB,Lg Coastal,0.034065442
1998,GB,Pelagic,0.078888391
1998,GB,Prohibited,0.003137606
1998,GOM,Pelagic,0.01289648
1998,GOM,Prohibited,0.003834089
1998,MAB,Sm Coastal,0.002285002
1998,MAB,Lg Coastal,0.030743664
1998,MAB,Prohibited,0.007270461
1998,MAB,Pelagic,0.006647279
1999,GB,Pelagic,0.000273935
1999,GB,Prohibited,0.000136968
1999,GOM,Pelagic,0.009922347
1999,GOM,Prohibited,0.003019845
1999,MAB,Pelagic,0.008972504
1999,MAB,Lg Coastal,0.008683068
1999,MAB,Prohibited,0.011287988
2000,GB,Pelagic,0.00022242
2000,GB,Prohibited,5.5605E-05
2000,GOM,Pelagic,0.001935484
2000,GOM,Prohibited,0.000967742
