"","Value","EPU","Var","Time","Units"
"1",-1.1166847394389,"MAB","winter OI SST Anomaly",1982,"degreesC"
"2",-1.00096901651047,"MAB","spring OI SST Anomaly",1982,"degreesC"
"3",-1.14444322309975,"MAB","summer OI SST Anomaly",1982,"degreesC"
"4",-0.12164451131213,"MAB","fall OI SST Anomaly",1982,"degreesC"
"5",0.677868024386851,"MAB","winter OI SST Anomaly",1983,"degreesC"
"6",-0.309304896667932,"MAB","spring OI SST Anomaly",1983,"degreesC"
"7",-0.518365438929727,"MAB","summer OI SST Anomaly",1983,"degreesC"
"8",-0.0462016600552584,"MAB","fall OI SST Anomaly",1983,"degreesC"
"9",-0.344231317382974,"MAB","winter OI SST Anomaly",1984,"degreesC"
"10",-0.749586166908099,"MAB","spring OI SST Anomaly",1984,"degreesC"
"11",-0.912991983953141,"MAB","summer OI SST Anomaly",1984,"degreesC"
"12",0.257510747542835,"MAB","fall OI SST Anomaly",1984,"degreesC"
"13",0.474091904347085,"MAB","winter OI SST Anomaly",1985,"degreesC"
"14",0.360649933234974,"MAB","spring OI SST Anomaly",1985,"degreesC"
"15",-0.204853272160939,"MAB","summer OI SST Anomaly",1985,"degreesC"
"16",0.98547180736573,"MAB","fall OI SST Anomaly",1985,"degreesC"
"17",0.49029047113912,"MAB","winter OI SST Anomaly",1986,"degreesC"
"18",0.365011261513645,"MAB","spring OI SST Anomaly",1986,"degreesC"
"19",-0.924709592407449,"MAB","summer OI SST Anomaly",1986,"degreesC"
"20",0.0937224632955758,"MAB","fall OI SST Anomaly",1986,"degreesC"
"21",-0.180816774475066,"MAB","winter OI SST Anomaly",1987,"degreesC"
"22",-0.463059656159064,"MAB","spring OI SST Anomaly",1987,"degreesC"
"23",-0.269360908495166,"MAB","summer OI SST Anomaly",1987,"degreesC"
"24",-1.63037510886564,"MAB","fall OI SST Anomaly",1987,"degreesC"
"25",-0.742513323383092,"MAB","winter OI SST Anomaly",1988,"degreesC"
"26",-0.657764938210875,"MAB","spring OI SST Anomaly",1988,"degreesC"
"27",-0.894245210311766,"MAB","summer OI SST Anomaly",1988,"degreesC"
"28",-1.08671577390683,"MAB","fall OI SST Anomaly",1988,"degreesC"
"29",0.151948345722928,"MAB","winter OI SST Anomaly",1989,"degreesC"
