"Data from Table 1, Silva et al 2020",,,,,,,
Cruise,Sites surveyed,Sand lance,Humpback whale,Great shearwater,Sand lance per site,Humpback whale per site,Great shearwater per site
Fall 2013,20,0,1,0,0.0,0.1,0.0
Spring 2014,13,0,19,1,0.0,1.5,0.1
Fall 2014,22,85,16,410,3.9,0.7,18.6
Spring 2015,33,30,25,0,0.9,0.8,0.0
Fall 2015,40,19,41,396,0.5,1.0,9.9
Spring 2016,40,8,0,0,0.2,0.0,0.0
Fall 2016,30,124,23,31,4.1,0.8,1.0
Spring 2017,41,19,0,0,0.5,0.0,0.0
Fall 2017,42,4,0,18,0.1,0.0,0.4
Spring 2018,39,5,58,0,0.1,1.5,0.0
Summer 2018,41,9,12,39,0.2,0.3,1.0
