"","Time","Value","Source","Region","Units","Var"
"1","1997",847,"1 confidential observation(s) suppressed in year 1997. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"2","1998",862,"0 confidential observation(s) suppressed in year 1998. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"3","1999",870,"0 confidential observation(s) suppressed in year 1999. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"4","2000",844,"1 confidential observation(s) suppressed in year 2000. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"5","2001",819,"1 confidential observation(s) suppressed in year 2001. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"6","2002",880,"1 confidential observation(s) suppressed in year 2002. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"7","2003",979,"1 confidential observation(s) suppressed in year 2003. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"8","2004",943,"1 confidential observation(s) suppressed in year 2004. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"9","2005",927,"0 confidential observation(s) suppressed in year 2005. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"10","2006",882,"0 confidential observation(s) suppressed in year 2006. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"11","2007",1085,"1 confidential observation(s) suppressed in year 2007. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"12","2008",964,"1 confidential observation(s) suppressed in year 2008. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"13","2009",1001,"0 confidential observation(s) suppressed in year 2009. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"14","2010",999,"1 confidential observation(s) suppressed in year 2010. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"15","2011",1044,"1 confidential observation(s) suppressed in year 2011. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"16","2012",1115,"1 confidential observation(s) suppressed in year 2012. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"17","2013",1118,"1 confidential observation(s) suppressed in year 2013. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"18","2014",1171,"1 confidential observation(s) suppressed in year 2014. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
"19","2015",1137,"1 confidential observation(s) suppressed in year 2015. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MA","Number of establishments","Shoreside Support Nonemployer Establishments"
