"","Time","Var","Value","EPU","Units"
"1",1983,"cumulative intensity",41.8807,"GB","degrees C"
"2",1984,"cumulative intensity",10.8232,"GB","degrees C"
"3",1984,"cumulative intensity",8.6684,"MAB","degrees C"
"4",1985,"cumulative intensity",29.8611,"MAB","degrees C"
"5",1990,"cumulative intensity",75.0476,"GB","degrees C"
"6",1990,"cumulative intensity",25.9199,"MAB","degrees C"
"7",1991,"cumulative intensity",11.4057,"GB","degrees C"
"8",1991,"cumulative intensity",34.5627,"MAB","degrees C"
"9",1994,"cumulative intensity",67.6226,"GB","degrees C"
"10",1995,"cumulative intensity",8.7491,"GB","degrees C"
"11",1995,"cumulative intensity",7.485,"MAB","degrees C"
"12",1999,"cumulative intensity",33.4358,"GB","degrees C"
"13",1999,"cumulative intensity",14.4075,"GOM","degrees C"
"14",1999,"cumulative intensity",43.8959,"MAB","degrees C"
"15",2000,"cumulative intensity",13.4828,"GB","degrees C"
"16",2000,"cumulative intensity",9.0228,"GOM","degrees C"
"17",2000,"cumulative intensity",18.5368,"MAB","degrees C"
"18",2001,"cumulative intensity",31.385,"GB","degrees C"
"19",2001,"cumulative intensity",26.2511,"MAB","degrees C"
"20",2002,"cumulative intensity",41.2982,"GB","degrees C"
"21",2002,"cumulative intensity",119.5033,"MAB","degrees C"
"22",2005,"cumulative intensity",21.4834,"GB","degrees C"
"23",2005,"cumulative intensity",11.6883,"MAB","degrees C"
"24",2006,"cumulative intensity",14.0606,"GB","degrees C"
"25",2006,"cumulative intensity",60.8494,"GOM","degrees C"
"26",2006,"cumulative intensity",12.7587,"MAB","degrees C"
"27",2007,"cumulative intensity",44.9332,"GB","degrees C"
"28",2007,"cumulative intensity",91.5389,"MAB","degrees C"
"29",2009,"cumulative intensity",76.9534,"GB","degrees C"
"30",2009,"cumulative intensity",18.9044,"GOM","degrees C"
"31",2009,"cumulative intensity",35.3228,"MAB","degrees C"
"32",2010,"cumulative intensity",42.2549,"GB","degrees C"
"33",2010,"cumulative intensity",128.1387,"GOM","degrees C"
"34",2010,"cumulative intensity",66.1123,"MAB","degrees C"
"35",2011,"cumulative intensity",31.5128,"GB","degrees C"
"36",2011,"cumulative intensity",28.9069,"GOM","degrees C"
"37",2011,"cumulative intensity",83.4126,"MAB","degrees C"
"38",2012,"cumulative intensity",325.8128,"GB","degrees C"
"39",2012,"cumulative intensity",480.8198,"GOM","degrees C"
"40",2012,"cumulative intensity",367.3605,"MAB","degrees C"
"41",2013,"cumulative intensity",90.8997,"GB","degrees C"
"42",2013,"cumulative intensity",110.2533,"GOM","degrees C"
"43",2014,"cumulative intensity",23.231,"GOM","degrees C"
"44",2014,"cumulative intensity",34.5324,"MAB","degrees C"
"45",2015,"cumulative intensity",179.8127,"GB","degrees C"
"46",2015,"cumulative intensity",142.4161,"GOM","degrees C"
"47",2015,"cumulative intensity",249.053,"MAB","degrees C"
"48",2016,"cumulative intensity",139.3624,"GB","degrees C"
"49",2016,"cumulative intensity",145.3073,"GOM","degrees C"
"50",2016,"cumulative intensity",107.1669,"MAB","degrees C"
"51",2017,"cumulative intensity",55.1112,"GB","degrees C"
"52",2017,"cumulative intensity",87.5778,"GOM","degrees C"
"53",2017,"cumulative intensity",52.9724,"MAB","degrees C"
"54",2018,"cumulative intensity",58.5724,"GB","degrees C"
"55",2018,"cumulative intensity",186.2904,"GOM","degrees C"
"56",2018,"cumulative intensity",98.4408,"MAB","degrees C"
