"","Time","Var","EPU","Value"
"1",1982,"cumulative intensity","GB",0
"2",1983,"cumulative intensity","GB",0
"3",1984,"cumulative intensity","GB",0
"4",1985,"cumulative intensity","GB",0
"5",1986,"cumulative intensity","GB",0
"6",1988,"cumulative intensity","GB",0
"7",1989,"cumulative intensity","GB",0
"8",1990,"cumulative intensity","GB",0
"9",1991,"cumulative intensity","GB",0
"10",1993,"cumulative intensity","GB",0
"11",1994,"cumulative intensity","GB",0
"12",1995,"cumulative intensity","GB",0
"13",1996,"cumulative intensity","GB",0
"14",1999,"cumulative intensity","GB",0
"15",2000,"cumulative intensity","GB",0
"16",2001,"cumulative intensity","GB",0
"17",2002,"cumulative intensity","GB",0
"18",2003,"cumulative intensity","GB",0
"19",2004,"cumulative intensity","GB",0
"20",2005,"cumulative intensity","GB",0
"21",2006,"cumulative intensity","GB",0
"22",2007,"cumulative intensity","GB",0
"23",2008,"cumulative intensity","GB",0
"24",2009,"cumulative intensity","GB",0
"25",2010,"cumulative intensity","GB",0
"26",2011,"cumulative intensity","GB",0
"27",2012,"cumulative intensity","GB",0
"28",2013,"cumulative intensity","GB",0
"29",2014,"cumulative intensity","GB",0
"30",2015,"cumulative intensity","GB",0
"31",2016,"cumulative intensity","GB",0
"32",2017,"cumulative intensity","GB",0
"33",2018,"cumulative intensity","GB",0
"34",2019,"cumulative intensity","GB",0
"35",2020,"cumulative intensity","GB",0
"36",2021,"cumulative intensity","GB",0
"37",1982,"maximum intensity","GB",0
"38",1983,"maximum intensity","GB",0
"39",1984,"maximum intensity","GB",0
"40",1985,"maximum intensity","GB",0
"41",1986,"maximum intensity","GB",0
"42",1988,"maximum intensity","GB",0
"43",1989,"maximum intensity","GB",0
"44",1990,"maximum intensity","GB",0
"45",1991,"maximum intensity","GB",0
"46",1993,"maximum intensity","GB",0
"47",1994,"maximum intensity","GB",0
"48",1995,"maximum intensity","GB",0
"49",1996,"maximum intensity","GB",0
"50",1999,"maximum intensity","GB",0
"51",2000,"maximum intensity","GB",0
"52",2001,"maximum intensity","GB",0
"53",2002,"maximum intensity","GB",0
"54",2003,"maximum intensity","GB",0
"55",2004,"maximum intensity","GB",0
"56",2005,"maximum intensity","GB",0
"57",2006,"maximum intensity","GB",0
"58",2007,"maximum intensity","GB",0
"59",2008,"maximum intensity","GB",0
"60",2009,"maximum intensity","GB",0
"61",2010,"maximum intensity","GB",0
"62",2011,"maximum intensity","GB",0
"63",2012,"maximum intensity","GB",0
"64",2013,"maximum intensity","GB",0
"65",2014,"maximum intensity","GB",0
"66",2015,"maximum intensity","GB",0
"67",2016,"maximum intensity","GB",0
"68",2017,"maximum intensity","GB",0
"69",2018,"maximum intensity","GB",0
"70",2019,"maximum intensity","GB",0
"71",2020,"maximum intensity","GB",0
"72",2021,"maximum intensity","GB",0
"73",1982,"cumulative intensity","GOM",0
"74",1983,"cumulative intensity","GOM",0
"75",1984,"cumulative intensity","GOM",0
"76",1985,"cumulative intensity","GOM",0
"77",1986,"cumulative intensity","GOM",0
"78",1988,"cumulative intensity","GOM",0
"79",1989,"cumulative intensity","GOM",0
"80",1990,"cumulative intensity","GOM",0
"81",1991,"cumulative intensity","GOM",0
"82",1993,"cumulative intensity","GOM",0
"83",1994,"cumulative intensity","GOM",0
"84",1995,"cumulative intensity","GOM",0
"85",1996,"cumulative intensity","GOM",0
"86",1999,"cumulative intensity","GOM",0
"87",2000,"cumulative intensity","GOM",0
"88",2001,"cumulative intensity","GOM",0
"89",2002,"cumulative intensity","GOM",0
"90",2003,"cumulative intensity","GOM",0
"91",2004,"cumulative intensity","GOM",0
"92",2005,"cumulative intensity","GOM",0
"93",2006,"cumulative intensity","GOM",0
"94",2007,"cumulative intensity","GOM",0
"95",2008,"cumulative intensity","GOM",0
