VARIABLE,PERIOD,MATH,REGION,SUBAREA,PROD,UNITS,VALUE,NOTES,PRODUCT_LONG_NAME,ALGORITHM,TIME_START,TIME_END,DURATION,INPUT_FILE_NAME,ALGORITHM_REFERENCE,SENSOR,SOURCE_DATA_VERSION,SOURCE_DATA_URL,SOURCE_DATA_DOI,TITLE,CONTRIBUTOR_NAME
CLIMATOLOGICAL_WEEK_NANO_PERCENTAGE_MEDIAN,WEEK_01_1998_2020,STATS,NES_EPU_NOESTUARIES,GOM,NANO_PERCENTAGE-BREWINSST_NES,percent,0.2853490,Median of the spatial mean,nanoplankton percent composition,Northeast US Shelf - Brewin with SST Phytoplankton Community,1998-01-01T00:00:00Z,2020-01-07T23:59:59Z,23 years,WEEK_01_1998_2020-OCCCI-V5.0-L3B4-NANO_PERCENTAGE-BREWINSST_NES-STATS.SAV,Turner_K._et al. (in progress); Brewin_R.J.W._Sathyendranath_S._Hirata_T._Lavender_S.J._Barciela_R.M._Hardman-Mountford_N.J._2010. A three-component model of phytoplankton size class for the Atlantic Ocean. Ecological Modelling 221_1472–1483. https://doi.org/10.1016/j.ecolmodel.2010.02.014; Brewin_R.J.W._Sathyendranath_S._Jackson_T._Barlow_R._Brotas_V._Airs_R._Lamont_T._2015. Influence of light in the mixed-layer on the parameters of a three-component model of phytoplankton size class. Remote Sensing of Environment 168_437–450. https://doi.org/10.1016/j.rse.2015.07.004; Brewin_R.J.W._Ciavatta_S._Sathyendranath_S._Jackson_T._Tilstone_G._Curran_K._Airs_R.L._Cummings_D._Brotas_V._Organelli_E._Dall’Olmo_G._Raitsos_D.E._2017. Uncertainty in Ocean-Color Estimates of Chlorophyll for Phytoplankton Groups. Front. Mar. Sci. 4. https://doi.org/10.3389/fmars.2017.00104,Ocean Color Climate Change Initiative,V5.0,http://www.esa-oceancolour-cci.org/,NA,Climatological weekly level 3 statistics of NANO_PERCENTAGE data (Northeast US Shelf - Brewin with SST Phytoplankton Community) from the OC-CCI dataset,Kimberly Hyde | kimberly.hyde@noaa.gov | NEFSC
CLIMATOLOGICAL_WEEK_NANO_PERCENTAGE_MEDIAN,WEEK_01_1998_2020,STATS,NES_EPU_NOESTUARIES,MAB,NANO_PERCENTAGE-BREWINSST_NES,percent,0.3013679,Median of the spatial mean,nanoplankton percent composition,Northeast US Shelf - Brewin with SST Phytoplankton Community,1998-01-01T00:00:00Z,2020-01-07T23:59:59Z,23 years,WEEK_01_1998_2020-OCCCI-V5.0-L3B4-NANO_PERCENTAGE-BREWINSST_NES-STATS.SAV,Turner_K._et al. (in progress); Brewin_R.J.W._Sathyendranath_S._Hirata_T._Lavender_S.J._Barciela_R.M._Hardman-Mountford_N.J._2010. A three-component model of phytoplankton size class for the Atlantic Ocean. Ecological Modelling 221_1472–1483. https://doi.org/10.1016/j.ecolmodel.2010.02.014; Brewin_R.J.W._Sathyendranath_S._Jackson_T._Barlow_R._Brotas_V._Airs_R._Lamont_T._2015. Influence of light in the mixed-layer on the parameters of a three-component model of phytoplankton size class. Remote Sensing of Environment 168_437–450. https://doi.org/10.1016/j.rse.2015.07.004; Brewin_R.J.W._Ciavatta_S._Sathyendranath_S._Jackson_T._Tilstone_G._Curran_K._Airs_R.L._Cummings_D._Brotas_V._Organelli_E._Dall’Olmo_G._Raitsos_D.E._2017. Uncertainty in Ocean-Color Estimates of Chlorophyll for Phytoplankton Groups. Front. Mar. Sci. 4. https://doi.org/10.3389/fmars.2017.00104,Ocean Color Climate Change Initiative,V5.0,http://www.esa-oceancolour-cci.org/,NA,Climatological weekly level 3 statistics of NANO_PERCENTAGE data (Northeast US Shelf - Brewin with SST Phytoplankton Community) from the OC-CCI dataset,Kimberly Hyde | kimberly.hyde@noaa.gov | NEFSC
CLIMATOLOGICAL_WEEK_NANO_PERCENTAGE_MEDIAN,WEEK_01_1998_2020,STATS,NES_EPU_NOESTUARIES,GB,NANO_PERCENTAGE-BREWINSST_NES,percent,0.2830194,Median of the spatial mean,nanoplankton percent composition,Northeast US Shelf - Brewin with SST Phytoplankton Community,1998-01-01T00:00:00Z,2020-01-07T23:59:59Z,23 years,WEEK_01_1998_2020-OCCCI-V5.0-L3B4-NANO_PERCENTAGE-BREWINSST_NES-STATS.SAV,Turner_K._et al. (in progress); Brewin_R.J.W._Sathyendranath_S._Hirata_T._Lavender_S.J._Barciela_R.M._Hardman-Mountford_N.J._2010. A three-component model of phytoplankton size class for the Atlantic Ocean. Ecological Modelling 221_1472–1483. https://doi.org/10.1016/j.ecolmodel.2010.02.014; Brewin_R.J.W._Sathyendranath_S._Jackson_T._Barlow_R._Brotas_V._Airs_R._Lamont_T._2015. Influence of light in the mixed-layer on the parameters of a three-component model of phytoplankton size class. Remote Sensing of Environment 168_437–450. https://doi.org/10.1016/j.rse.2015.07.004; Brewin_R.J.W._Ciavatta_S._Sathyendranath_S._Jackson_T._Tilstone_G._Curran_K._Airs_R.L._Cummings_D._Brotas_V._Organelli_E._Dall’Olmo_G._Raitsos_D.E._2017. Uncertainty in Ocean-Color Estimates of Chlorophyll for Phytoplankton Groups. Front. Mar. Sci. 4. https://doi.org/10.3389/fmars.2017.00104,Ocean Color Climate Change Initiative,V5.0,http://www.esa-oceancolour-cci.org/,NA,Climatological weekly level 3 statistics of NANO_PERCENTAGE data (Northeast US Shelf - Brewin with SST Phytoplankton Community) from the OC-CCI dataset,Kimberly Hyde | kimberly.hyde@noaa.gov | NEFSC
CLIMATOLOGICAL_WEEK_NANO_PERCENTAGE_MEDIAN,WEEK_02_1998_2020,STATS,NES_EPU_NOESTUARIES,GOM,NANO_PERCENTAGE-BREWINSST_NES,percent,0.2837544,Median of the spatial mean,nanoplankton percent composition,Northeast US Shelf - Brewin with SST Phytoplankton Community,1998-01-08T00:00:00Z,2020-01-14T23:59:59Z,23 years,WEEK_02_1998_2020-OCCCI-V5.0-L3B4-NANO_PERCENTAGE-BREWINSST_NES-STATS.SAV,Turner_K._et al. (in progress); Brewin_R.J.W._Sathyendranath_S._Hirata_T._Lavender_S.J._Barciela_R.M._Hardman-Mountford_N.J._2010. A three-component model of phytoplankton size class for the Atlantic Ocean. Ecological Modelling 221_1472–1483. https://doi.org/10.1016/j.ecolmodel.2010.02.014; Brewin_R.J.W._Sathyendranath_S._Jackson_T._Barlow_R._Brotas_V._Airs_R._Lamont_T._2015. Influence of light in the mixed-layer on the parameters of a three-component model of phytoplankton size class. Remote Sensing of Environment 168_437–450. https://doi.org/10.1016/j.rse.2015.07.004; Brewin_R.J.W._Ciavatta_S._Sathyendranath_S._Jackson_T._Tilstone_G._Curran_K._Airs_R.L._Cummings_D._Brotas_V._Organelli_E._Dall’Olmo_G._Raitsos_D.E._2017. Uncertainty in Ocean-Color Estimates of Chlorophyll for Phytoplankton Groups. Front. Mar. Sci. 4. https://doi.org/10.3389/fmars.2017.00104,Ocean Color Climate Change Initiative,V5.0,http://www.esa-oceancolour-cci.org/,NA,Climatological weekly level 3 statistics of NANO_PERCENTAGE data (Northeast US Shelf - Brewin with SST Phytoplankton Community) from the OC-CCI dataset,Kimberly Hyde | kimberly.hyde@noaa.gov | NEFSC
CLIMATOLOGICAL_WEEK_NANO_PERCENTAGE_MEDIAN,WEEK_02_1998_2020,STATS,NES_EPU_NOESTUARIES,MAB,NANO_PERCENTAGE-BREWINSST_NES,percent,0.2901258,Median of the spatial mean,nanoplankton percent composition,Northeast US Shelf - Brewin with SST Phytoplankton Community,1998-01-08T00:00:00Z,2020-01-14T23:59:59Z,23 years,WEEK_02_1998_2020-OCCCI-V5.0-L3B4-NANO_PERCENTAGE-BREWINSST_NES-STATS.SAV,Turner_K._et al. (in progress); Brewin_R.J.W._Sathyendranath_S._Hirata_T._Lavender_S.J._Barciela_R.M._Hardman-Mountford_N.J._2010. A three-component model of phytoplankton size class for the Atlantic Ocean. Ecological Modelling 221_1472–1483. https://doi.org/10.1016/j.ecolmodel.2010.02.014; Brewin_R.J.W._Sathyendranath_S._Jackson_T._Barlow_R._Brotas_V._Airs_R._Lamont_T._2015. Influence of light in the mixed-layer on the parameters of a three-component model of phytoplankton size class. Remote Sensing of Environment 168_437–450. https://doi.org/10.1016/j.rse.2015.07.004; Brewin_R.J.W._Ciavatta_S._Sathyendranath_S._Jackson_T._Tilstone_G._Curran_K._Airs_R.L._Cummings_D._Brotas_V._Organelli_E._Dall’Olmo_G._Raitsos_D.E._2017. Uncertainty in Ocean-Color Estimates of Chlorophyll for Phytoplankton Groups. Front. Mar. Sci. 4. https://doi.org/10.3389/fmars.2017.00104,Ocean Color Climate Change Initiative,V5.0,http://www.esa-oceancolour-cci.org/,NA,Climatological weekly level 3 statistics of NANO_PERCENTAGE data (Northeast US Shelf - Brewin with SST Phytoplankton Community) from the OC-CCI dataset,Kimberly Hyde | kimberly.hyde@noaa.gov | NEFSC
CLIMATOLOGICAL_WEEK_NANO_PERCENTAGE_MEDIAN,WEEK_02_1998_2020,STATS,NES_EPU_NOESTUARIES,GB,NANO_PERCENTAGE-BREWINSST_NES,percent,0.2731600,Median of the spatial mean,nanoplankton percent composition,Northeast US Shelf - Brewin with SST Phytoplankton Community,1998-01-08T00:00:00Z,2020-01-14T23:59:59Z,23 years,WEEK_02_1998_2020-OCCCI-V5.0-L3B4-NANO_PERCENTAGE-BREWINSST_NES-STATS.SAV,Turner_K._et al. (in progress); Brewin_R.J.W._Sathyendranath_S._Hirata_T._Lavender_S.J._Barciela_R.M._Hardman-Mountford_N.J._2010. A three-component model of phytoplankton size class for the Atlantic Ocean. Ecological Modelling 221_1472–1483. https://doi.org/10.1016/j.ecolmodel.2010.02.014; Brewin_R.J.W._Sathyendranath_S._Jackson_T._Barlow_R._Brotas_V._Airs_R._Lamont_T._2015. Influence of light in the mixed-layer on the parameters of a three-component model of phytoplankton size class. Remote Sensing of Environment 168_437–450. https://doi.org/10.1016/j.rse.2015.07.004; Brewin_R.J.W._Ciavatta_S._Sathyendranath_S._Jackson_T._Tilstone_G._Curran_K._Airs_R.L._Cummings_D._Brotas_V._Organelli_E._Dall’Olmo_G._Raitsos_D.E._2017. Uncertainty in Ocean-Color Estimates of Chlorophyll for Phytoplankton Groups. Front. Mar. Sci. 4. https://doi.org/10.3389/fmars.2017.00104,Ocean Color Climate Change Initiative,V5.0,http://www.esa-oceancolour-cci.org/,NA,Climatological weekly level 3 statistics of NANO_PERCENTAGE data (Northeast US Shelf - Brewin with SST Phytoplankton Community) from the OC-CCI dataset,Kimberly Hyde | kimberly.hyde@noaa.gov | NEFSC
CLIMATOLOGICAL_WEEK_NANO_PERCENTAGE_MEDIAN,WEEK_03_1998_2020,STATS,NES_EPU_NOESTUARIES,GOM,NANO_PERCENTAGE-BREWINSST_NES,percent,0.2719996,Median of the spatial mean,nanoplankton percent composition,Northeast US Shelf - Brewin with SST Phytoplankton Community,1998-01-15T00:00:00Z,2020-01-21T23:59:59Z,23 years,WEEK_03_1998_2020-OCCCI-V5.0-L3B4-NANO_PERCENTAGE-BREWINSST_NES-STATS.SAV,Turner_K._et al. (in progress); Brewin_R.J.W._Sathyendranath_S._Hirata_T._Lavender_S.J._Barciela_R.M._Hardman-Mountford_N.J._2010. A three-component model of phytoplankton size class for the Atlantic Ocean. Ecological Modelling 221_1472–1483. https://doi.org/10.1016/j.ecolmodel.2010.02.014; Brewin_R.J.W._Sathyendranath_S._Jackson_T._Barlow_R._Brotas_V._Airs_R._Lamont_T._2015. Influence of light in the mixed-layer on the parameters of a three-component model of phytoplankton size class. Remote Sensing of Environment 168_437–450. https://doi.org/10.1016/j.rse.2015.07.004; Brewin_R.J.W._Ciavatta_S._Sathyendranath_S._Jackson_T._Tilstone_G._Curran_K._Airs_R.L._Cummings_D._Brotas_V._Organelli_E._Dall’Olmo_G._Raitsos_D.E._2017. Uncertainty in Ocean-Color Estimates of Chlorophyll for Phytoplankton Groups. Front. Mar. Sci. 4. https://doi.org/10.3389/fmars.2017.00104,Ocean Color Climate Change Initiative,V5.0,http://www.esa-oceancolour-cci.org/,NA,Climatological weekly level 3 statistics of NANO_PERCENTAGE data (Northeast US Shelf - Brewin with SST Phytoplankton Community) from the OC-CCI dataset,Kimberly Hyde | kimberly.hyde@noaa.gov | NEFSC
CLIMATOLOGICAL_WEEK_NANO_PERCENTAGE_MEDIAN,WEEK_03_1998_2020,STATS,NES_EPU_NOESTUARIES,MAB,NANO_PERCENTAGE-BREWINSST_NES,percent,0.2795037,Median of the spatial mean,nanoplankton percent composition,Northeast US Shelf - Brewin with SST Phytoplankton Community,1998-01-15T00:00:00Z,2020-01-21T23:59:59Z,23 years,WEEK_03_1998_2020-OCCCI-V5.0-L3B4-NANO_PERCENTAGE-BREWINSST_NES-STATS.SAV,Turner_K._et al. (in progress); Brewin_R.J.W._Sathyendranath_S._Hirata_T._Lavender_S.J._Barciela_R.M._Hardman-Mountford_N.J._2010. A three-component model of phytoplankton size class for the Atlantic Ocean. Ecological Modelling 221_1472–1483. https://doi.org/10.1016/j.ecolmodel.2010.02.014; Brewin_R.J.W._Sathyendranath_S._Jackson_T._Barlow_R._Brotas_V._Airs_R._Lamont_T._2015. Influence of light in the mixed-layer on the parameters of a three-component model of phytoplankton size class. Remote Sensing of Environment 168_437–450. https://doi.org/10.1016/j.rse.2015.07.004; Brewin_R.J.W._Ciavatta_S._Sathyendranath_S._Jackson_T._Tilstone_G._Curran_K._Airs_R.L._Cummings_D._Brotas_V._Organelli_E._Dall’Olmo_G._Raitsos_D.E._2017. Uncertainty in Ocean-Color Estimates of Chlorophyll for Phytoplankton Groups. Front. Mar. Sci. 4. https://doi.org/10.3389/fmars.2017.00104,Ocean Color Climate Change Initiative,V5.0,http://www.esa-oceancolour-cci.org/,NA,Climatological weekly level 3 statistics of NANO_PERCENTAGE data (Northeast US Shelf - Brewin with SST Phytoplankton Community) from the OC-CCI dataset,Kimberly Hyde | kimberly.hyde@noaa.gov | NEFSC
CLIMATOLOGICAL_WEEK_NANO_PERCENTAGE_MEDIAN,WEEK_03_1998_2020,STATS,NES_EPU_NOESTUARIES,GB,NANO_PERCENTAGE-BREWINSST_NES,percent,0.2636863,Median of the spatial mean,nanoplankton percent composition,Northeast US Shelf - Brewin with SST Phytoplankton Community,1998-01-15T00:00:00Z,2020-01-21T23:59:59Z,23 years,WEEK_03_1998_2020-OCCCI-V5.0-L3B4-NANO_PERCENTAGE-BREWINSST_NES-STATS.SAV,Turner_K._et al. (in progress); Brewin_R.J.W._Sathyendranath_S._Hirata_T._Lavender_S.J._Barciela_R.M._Hardman-Mountford_N.J._2010. A three-component model of phytoplankton size class for the Atlantic Ocean. Ecological Modelling 221_1472–1483. https://doi.org/10.1016/j.ecolmodel.2010.02.014; Brewin_R.J.W._Sathyendranath_S._Jackson_T._Barlow_R._Brotas_V._Airs_R._Lamont_T._2015. Influence of light in the mixed-layer on the parameters of a three-component model of phytoplankton size class. Remote Sensing of Environment 168_437–450. https://doi.org/10.1016/j.rse.2015.07.004; Brewin_R.J.W._Ciavatta_S._Sathyendranath_S._Jackson_T._Tilstone_G._Curran_K._Airs_R.L._Cummings_D._Brotas_V._Organelli_E._Dall’Olmo_G._Raitsos_D.E._2017. Uncertainty in Ocean-Color Estimates of Chlorophyll for Phytoplankton Groups. Front. Mar. Sci. 4. https://doi.org/10.3389/fmars.2017.00104,Ocean Color Climate Change Initiative,V5.0,http://www.esa-oceancolour-cci.org/,NA,Climatological weekly level 3 statistics of NANO_PERCENTAGE data (Northeast US Shelf - Brewin with SST Phytoplankton Community) from the OC-CCI dataset,Kimberly Hyde | kimberly.hyde@noaa.gov | NEFSC
CLIMATOLOGICAL_WEEK_NANO_PERCENTAGE_MEDIAN,WEEK_04_1998_2020,STATS,NES_EPU_NOESTUARIES,GOM,NANO_PERCENTAGE-BREWINSST_NES,percent,0.2706346,Median of the spatial mean,nanoplankton percent composition,Northeast US Shelf - Brewin with SST Phytoplankton Community,1998-01-22T00:00:00Z,2020-01-28T23:59:59Z,23 years,WEEK_04_1998_2020-OCCCI-V5.0-L3B4-NANO_PERCENTAGE-BREWINSST_NES-STATS.SAV,Turner_K._et al. (in progress); Brewin_R.J.W._Sathyendranath_S._Hirata_T._Lavender_S.J._Barciela_R.M._Hardman-Mountford_N.J._2010. A three-component model of phytoplankton size class for the Atlantic Ocean. Ecological Modelling 221_1472–1483. https://doi.org/10.1016/j.ecolmodel.2010.02.014; Brewin_R.J.W._Sathyendranath_S._Jackson_T._Barlow_R._Brotas_V._Airs_R._Lamont_T._2015. Influence of light in the mixed-layer on the parameters of a three-component model of phytoplankton size class. Remote Sensing of Environment 168_437–450. https://doi.org/10.1016/j.rse.2015.07.004; Brewin_R.J.W._Ciavatta_S._Sathyendranath_S._Jackson_T._Tilstone_G._Curran_K._Airs_R.L._Cummings_D._Brotas_V._Organelli_E._Dall’Olmo_G._Raitsos_D.E._2017. Uncertainty in Ocean-Color Estimates of Chlorophyll for Phytoplankton Groups. Front. Mar. Sci. 4. https://doi.org/10.3389/fmars.2017.00104,Ocean Color Climate Change Initiative,V5.0,http://www.esa-oceancolour-cci.org/,NA,Climatological weekly level 3 statistics of NANO_PERCENTAGE data (Northeast US Shelf - Brewin with SST Phytoplankton Community) from the OC-CCI dataset,Kimberly Hyde | kimberly.hyde@noaa.gov | NEFSC
