Island,Species,Year,Productivity,Amphipod,Euphausiid,Bluefish,Hake,Pollock,Lumpfish,Other Fish,Other Invertebrate,Herring,Sandlance,Butterfish,Unknown Fish,Unknown Invertebrate,Silverside,Three-spined Stickleback,Mackerel,Sum
EER,COTE,1988,,2,0,2,288,18,17,2,56,487,0,9,143,0,3,26,1,1054
EER,COTE,1989,,5,3,7,502,4,3,26,240,287,6,15,454,3,5,24,0,1584
EER,COTE,1990,,184,4,7,554,29,3,0,128,173,56,36,117,0,0,16,0,1307
EER,COTE,1991,1.62,28,0,10,814,80,0,3,12,434,16,17,151,0,0,31,0,1596
EER,COTE,1992,1.51,0,0,2,205,67,0,0,14,90,3,12,103,0,0,0,0,496
EER,COTE,1993,1.42,,,,,,,,,,,,,,,,,
EER,COTE,1994,1.26,187,0,0,335,5,2,0,70,16,2,61,12,0,0,4,0,694
EER,COTE,1995,1.55,58,0,0,433,7,5,0,29,123,3,9,43,0,0,4,0,714
EER,COTE,1996,0.47,3,0,1,515,22,2,2,11,116,1,250,173,0,0,9,0,1105
EER,COTE,1997,1.66,0,0,0,825,12,1,0,20,209,2,14,215,1,0,12,0,1311
EER,COTE,1998,1.17,2,0,0,731,45,2,0,4,116,4,4,219,0,0,7,0,1134
EER,COTE,1999,1.07,23,2,15,399,19,2,6,16,71,2,4,115,8,1,12,0,695
EER,COTE,2000,1.05,2,0,0,242,16,5,0,0,437,2,0,14,0,0,6,0,724
EER,COTE,2001,0.4,2,0,0,24,2,0,0,0,35,2,0,14,0,0,0,0,79
EER,COTE,2002,0.9,0,0,4,199,14,5,5,77,56,3,11,170,9,0,3,0,556
EER,COTE,2003,0.98,22,0,1,315,11,1,1,0,79,3,46,72,12,0,8,0,571
EER,COTE,2004,0.64,1,0,0,300,2,11,0,7,75,11,61,162,13,0,15,0,658
EER,COTE,2005,0.59,0,0,3,155,0,11,11,2,25,1,8,38,2,0,1,0,257
EER,COTE,2006,0.64,0,1,1,263,12,10,12,15,91,0,42,144,28,1,11,2,633
EER,COTE,2007,1.19,46,4,3,288,12,22,24,4,145,43,14,151,10,0,7,0,773
EER,COTE,2008,0.87,4,1,0,339,7,14,10,22,20,51,11,120,4,2,15,9,629
EER,COTE,2009,0.7,2,1,1,143,16,4,9,3,107,9,142,57,9,2,22,0,527
EER,COTE,2010,1.09,21,2,3,381,15,24,2,69,91,4,248,181,0,1,18,7,1067
EER,COTE,2011,1.14,11,0,0,388,42,0,3,6,139,1,299,21,0,0,12,1,923
EER,COTE,2012,1.01,21,0,1,241,9,7,8,17,231,18,57,110,18,22,3,1,764
EER,COTE,2013,0.71,0,0,0,247,16,0,12,29,64,0,7,60,33,0,1,1,470
EER,COTE,2014,1.32,0,0,1,256,60,0,15,3,309,12,4,127,3,0,0,0,790
EER,COTE,2015,1.19,3,0,1,244,32,0,5,1,120,53,33,164,1,2,2,0,661
EER,COTE,2016,1.23,27,16,3,289,3,0,4,9,45,11,14,113,15,3,0,0,552
EER,COTE,2017,1.53,1,0,0,313,39,0,11,2,244,56,9,146,1,1,0,0,823
EER,COTE,2018,1,2,0,1,238,16,1,17,6,503,34,139,133,0,0,6,0,1096
JI,COTE,1991,1.69,0,0,1,882,268,10,0,6,1379,8,0,392,0,0,0,0,2946
JI,COTE,1992,1.92,0,0,2,361,556,26,0,4,476,20,0,119,0,0,1,0,1565
JI,COTE,1993,1.96,16,1,0,749,81,8,7,24,1812,12,14,312,0,0,2,0,3038
JI,COTE,1994,1.71,9,3,2,432,21,36,0,28,1350,23,13,824,0,0,6,0,2747
JI,COTE,1995,2.12,0,0,0,1280,80,15,39,62,1451,14,1,234,0,1,2,0,3179
JI,COTE,1996,1.25,29,6,28,882,42,85,33,110,687,53,303,201,0,4,14,11,2488
JI,COTE,1997,1.88,6,0,2,728,53,86,7,60,648,61,20,223,0,11,13,4,1922
JI,COTE,1998,1.57,0,0,0,212,26,0,3,63,495,48,6,177,1,8,12,0,1051
JI,COTE,1999,1.35,9,0,0,325,141,8,3,43,440,31,5,102,0,8,0,0,1115
JI,COTE,2000,,2,0,1,37,10,2,3,1,95,10,0,17,0,0,1,0,179
JI,COTE,2001,,0,0,8,195,32,0,1,2,363,4,0,123,0,0,0,8,736
JI,COTE,2002,,0,0,0,44,1,0,0,1,22,0,1,1,0,1,0,0,71
JI,COTE,2003,1.48,9,0,1,106,22,2,0,0,64,4,7,14,0,0,2,0,231
JI,COTE,2004,1.13,0,0,0,78,0,1,0,1,19,0,0,31,0,0,0,0,130
JI,COTE,2005,1,0,3,1,278,9,15,1,14,57,2,18,47,1,2,6,0,454
JI,COTE,2006,1.32,0,43,0,233,9,11,1,20,287,0,10,55,0,3,1,0,673
JI,COTE,2007,1.67,18,23,1,1018,44,66,39,16,507,47,23,184,28,0,10,10,2034
JI,COTE,2008,0.89,71,0,2,124,13,25,54,154,282,70,8,146,18,24,31,1,1023
JI,COTE,2009,1.72,9,2,2,131,96,2,41,27,854,6,159,317,0,1,13,0,1660
JI,COTE,2010,1.9,10,5,0,526,33,77,22,7,333,19,180,192,0,1,8,80,1493
JI,COTE,2011,1.91,18,2,0,386,39,0,3,9,371,28,210,42,17,0,3,0,1128
JI,COTE,2012,2.04,4,2,0,162,36,0,15,15,651,144,38,100,0,40,0,0,1207
JI,COTE,2013,1.05,0,2,0,116,7,0,8,22,161,41,8,48,4,1,6,0,424
JI,COTE,2014,1.69,58,2,0,98,34,0,4,18,883,27,6,92,5,0,8,0,1235
JI,COTE,2015,1.35,0,2,0,225,12,0,3,8,204,176,21,355,12,110,10,0,1138
JI,COTE,2016,1.24,9,2,0,285,5,0,16,55,506,84,20,246,35,15,3,0,1281
JI,COTE,2017,1.56,4,0,0,81,3,0,15,12,649,107,7,334,0,57,5,0,1274
JI,COTE,2018,0.94,3,1,0,475,3,0,11,6,633,50,52,107,10,3,0,0,1354
MR,COTE,2002,1.22,,,,,,,,,,,,,,,,,
MR,COTE,2003,0.88,1,1,0,52,26,0,4,3,49,1,19,40,2,0,11,0,209
MR,COTE,2004,0.31,1,94,0,111,4,0,0,1,1,1,9,42,1,0,10,0,275
MR,COTE,2005,0.61,25,217,0,271,14,20,22,3,2,0,19,48,8,0,27,0,676
MR,COTE,2006,0.7,70,331,0,406,10,12,42,14,25,2,33,33,10,0,14,1,1003
MR,COTE,2007,0.48,42,8,0,149,1,3,4,9,9,39,9,92,19,0,1,0,385
MR,COTE,2008,0.87,0,50,1,64,4,5,1,58,17,125,34,89,20,0,14,0,482
MR,COTE,2009,0.73,0,2,1,31,12,4,0,2,95,4,34,70,4,0,14,0,273
MR,COTE,2010,0.61,17,3,0,213,32,14,11,7,7,7,228,49,73,0,13,0,674
MR,COTE,2011,1.06,27,16,0,217,37,3,11,10,10,23,265,76,13,0,15,20,743
MR,COTE,2012,0.63,19,2,8,126,35,0,12,14,21,6,114,76,28,0,4,0,465
MR,COTE,2013,1.13,15,4,0,270,13,0,2,5,35,0,21,40,2,0,0,0,407
MR,COTE,2014,1.38,0,10,0,377,5,0,4,3,36,31,14,121,4,0,7,0,612
