Year,West_Gulf_of_Maine,East_Gulf_of_Maine,Bay_of_Fundy,Gulf_of_Maine_All
2003,2.0619,0.4924,0.2177,2.7721
2004,17.2329,4.352,2.2943,23.8792
2005,6.0122,2.8036,2.1113,10.927
2006,4.9922,2.1701,1.1278,8.2901
2007,24.5074,5.5502,1.8946,31.9522
2008,7.932,3.3579,1.1167,12.4066
2009,28.5486,4.595,5.058,38.2016
2010,11.1903,5.1445,2.9542,19.289
2011,7.0397,2.3172,0.92219,10.279
2012,4.5064,2.7936,0.59372,7.8938
2013,4.1414,1.4847,0.95577,6.5818
2014,4.6809,4.104,NaN,10.521
2015,3.2781,1.2823,NaN,5.34
2016,3.5459,2.1572,NaN,6.8004
2017,4.0686,1.8937,NaN,6.9299
2018,3.427,1.8757,NaN,6.3486
2019,4.4185,2.2168,NaN,7.7877
2020,2.821,1.7837,NaN,5.5447
