Year,N Rows,"N(PSP, False)","N(PSP, True)",PSP%
1972,17,16,1,5.88
1973,4,4,0,0
1974,22,21,1,4.55
1975,53,48,5,9.43
1976,40,34,6,15
1977,55,49,6,10.91
1978,109,76,33,30.28
1979,170,128,42,24.71
1980,157,134,23,14.65
1981,144,123,21,14.58
1982,155,137,18,11.61
1983,183,159,24,13.11
1984,179,139,40,22.35
1985,267,233,34,12.73
1986,255,212,43,16.86
1987,238,235,3,1.26
1988,287,252,35,12.2
1989,323,272,51,15.79
1990,361,330,31,8.59
1991,318,315,3,0.94
1992,360,356,4,1.11
1993,431,380,51,11.83
1994,414,403,11,2.66
1995,372,364,8,2.15
1996,366,364,2,0.55
1997,361,361,0,0
1998,412,395,17,4.13
1999,379,370,9,2.37
2000,390,357,33,8.46
2001,425,409,16,3.76
2002,310,279,31,10
2003,448,409,39,8.71
2004,413,413,0,0
2005,510,400,110,21.57
2006,545,475,70,12.84
2007,473,454,19,4.02
2008,526,441,85,16.16
2009,450,409,41,9.11
2010,441,412,29,6.58
2011,476,413,63,13.24
2012,474,424,50,10.55
2013,421,402,19,4.51
2014,406,394,12,2.96
2015,373,362,11,2.95
2016,368,349,19,5.16
2017,405,361,44,10.86
2018,338,323,15,4.44
2019,358,286,72,20.11
