"","Time","Region","Value","Units","Var","Source"
"1",1982,"MA",8.31344765983426,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"2",1983,"MA",8.8854749683692,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"3",1984,"MA",7.66067832996047,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"4",1985,"MA",9.20873613540398,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"5",1986,"MA",10.0591343524066,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"6",1987,"MA",10.1515471499512,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"7",1988,"MA",10.525572849426,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"8",1989,"MA",8.74181941071422,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"9",1990,"MA",9.10846486402435,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"10",1991,"MA",9.69913714883505,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"11",1992,"MA",9.15118918589022,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"12",1993,"MA",8.75104819248423,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"13",1994,"MA",9.28593486790418,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"14",1995,"MA",9.31351659408788,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"15",1996,"MA",9.83082944836276,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"16",1997,"MA",9.59224778454098,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"17",1998,"MA",8.25111610308131,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"18",1999,"MA",8.8176871994536,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"19",2000,"MA",8.85049716353666,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"20",2001,"MA",8.91099863527049,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"21",2002,"MA",9.32345418385907,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"22",2003,"MA",8.35660764117273,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"23",2004,"MA",9.23192545194258,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"24",2005,"MA",8.14943471189717,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"25",2006,"MA",9.53874753892107,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"26",2007,"MA",8.98328330917409,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"27",2008,"MA",9.42305900130817,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"28",2009,"MA",8.78470057540468,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"29",2010,"MA",8.89956184177222,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"30",2011,"MA",8.49587192067423,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"31",2012,"MA",9.05470761400114,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"32",2013,"MA",8.4065898776933,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"33",2014,"MA",9.55196938053279,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"34",2015,"MA",9.10409047506174,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"35",2016,"MA",10.1858156054895,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
