"","Time","Region","Value","Var","Units","Source"
"1",1996,"MA",2.3786967,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"2",1997,"MA",2.3445587,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"3",1998,"MA",2.3236639,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"4",1999,"MA",2.2629089,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"5",2000,"MA",2.1364007,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"6",2001,"MA",2.0619249,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"7",2002,"MA",2.0002494,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"8",2003,"MA",1.987637,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"9",2004,"MA",1.9774544,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"10",2005,"MA",1.8901685,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"11",2006,"MA",1.9817017,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
"12",2007,"MA",2.0161788,"Permit revenue species diveristy","effective Shannon","Min-Yang's proprietary blend of VTR trip data and CFDBS prices, mixed with Vessel characteristics from PERMIT database, major VTR gear by permit, and a dash of love."
