Time,Value
1864,-1.02
1865,-1.24
1866,0.54
1867,-1.38
1868,2.81
1869,1.7
1870,-3.01
1871,-1.01
1872,-0.76
1873,-0.5
1874,2.32
1875,-1.35
1876,0.21
1877,0.05
1878,1.46
1879,-2.22
1880,0.89
1881,-3.8
1882,3.87
1883,-0.23
1884,1.44
1885,-0.89
1886,-1.12
1887,0.45
1888,-2.75
1889,-0.01
1890,1.78
1891,-0.82
1892,-2.02
1893,-1.07
1894,2.68
1895,-3.97
1896,1.12
1897,1.09
1898,1.02
1899,0.03
1900,-2.13
1901,-0.33
1902,-1.41
1903,3.89
1904,0.23
1905,1.98
1906,2.06
1907,2.06
1908,1.44
1909,0
1910,2.1
1911,0.29
1912,0.24
1913,2.69
1914,1.48
1915,-0.2
1916,-0.69
1917,-3.8
1918,-0.8
1919,-0.8
1920,3.18
1921,1.63
1922,1.85
1923,1.73
1924,-1.13
1925,2.39
1926,0.11
1927,1.72
1928,0.63
1929,-1.03
1930,0.91
1931,-0.16
1932,-0.5
1933,0.25
1934,0.86
1935,0.97
1936,-3.89
1937,0.72
1938,1.79
1939,0.37
1940,-2.86
1941,-2.31
1942,-0.55
1943,1.48
1944,0.61
1945,1.64
1946,0.27
1947,-2.71
1948,1.34
1949,1.87
1950,1.4
1951,-1.26
1952,0.83
1953,0.18
1954,0.13
1955,-2.52
1956,-1.73
1957,1.52
1958,-1.02
1959,-0.37
1960,-1.54
1961,1.8
1962,-2.38
1963,-3.6
1964,-2.86
1965,-2.88
1966,-1.69
1967,1.28
1968,-1.04
1969,-4.89
1970,-1.89
1971,-0.96
1972,0.34
1973,2.52
1974,1.23
1975,1.63
1976,1.37
1977,-2.14
1978,0.17
1979,-2.25
1980,0.56
1981,2.05
1982,0.8
1983,3.42
1984,1.6
1985,-0.63
1986,0.5
1987,-0.75
1988,0.72
1989,5.08
1990,3.96
1991,1.03
1992,3.28
1993,2.67
1994,3.03
1995,3.96
1996,-3.78
1997,-0.17
1998,0.72
1999,1.7
2000,2.8
2001,-1.9
2002,0.76
2003,0.2
2004,-0.07
2005,0.12
2006,-1.09
2007,2.79
2008,2.1
2009,-0.41
2010,-4.64
2011,-1.57
2012,3.17
2013,-1.97
2014,3.1
2015,3.56
2016,0.98
2017,1.47
2018,0.3
