region,year,season,trophic_level,offspring_size,age_maturity,length_maturity,fecundity,l_inf,k,max_obs_length,PC1,PC2,PC3
GB,1963,FALL,4.07341663595776,38.4789867050026,4.95301868893887,41.8256428394964,1026712.32546656,87.7753231859739,0.206197302143711,89.543604327357,-1.93985316091738,0.609896858218647,-0.0573421158985257
GOM,1963,FALL,4.10883962223567,69.5064272938361,5.71150590289893,43.2511861714899,981911.205292106,87.4467392519746,0.172531004305506,94.6076011294722,-2.31653195504824,0.174346893519037,-0.0648723821768454
MAB,1963,FALL,4.26780882237129,166.1436919113,7.05552688426478,56.3689997958241,438076.329038109,111.461014353548,0.135612605684013,114.966379464001,-3.45003574653934,-1.0667833987222,-0.45278462840016
SS,1963,FALL,4.00051255539781,33.6343929246428,4.93389050881604,40.2320838083481,1464661.73390079,85.0802146069114,0.195053781599575,92.9125343657072,-1.9333341288609,0.820218983215881,0.205304317899233
GB,1964,FALL,4.06252112408316,25.0175744544419,4.56690183196815,37.8621558056659,944560.845923015,80.6575271534151,0.235365004877352,83.7704379858961,-1.70098443732926,0.830287169229571,-0.0568443360958734
GOM,1964,FALL,3.84613526198967,36.3509113156031,5.65357058327588,36.3320135390364,1216110.24302725,74.8609595542873,0.170620140092243,79.7675712942034,-1.79424445559921,0.336905395318965,0.520982364916778
MAB,1964,FALL,4.32278697386544,204.696269267297,7.7618766233591,61.0279459863003,158865.541341348,116.312374525864,0.118793568239744,122.290677914675,-3.9333403448335,-1.63160513064103,-0.586766556626525
SS,1964,FALL,4.02721269676324,22.297681089357,4.76166568485275,40.6587350414059,1738401.91532745,89.3983644234229,0.196035200015036,95.4748388581952,-1.90741504248129,1.05382258783611,0.173455503570528
GB,1965,FALL,4.08932621102014,42.4298513012759,5.10640329252027,41.2479129719198,828463.369145519,86.5742305925339,0.234032390405629,87.0410194668854,-1.95352688739605,0.485908410875835,-0.121327294369178
GOM,1965,FALL,4.06701268023428,50.6278224509722,5.74794689982318,42.0997582340379,1461755.59513555,90.0951742720997,0.166204061758973,96.0637940046817,-2.26390947364037,0.46254857071348,0.104598321371064
MAB,1965,FALL,4.28577611090553,178.078250948798,7.12220292077632,57.5506730016315,284464.020790355,110.781300328614,0.138667145931272,116.93030543086,-3.53934550829954,-1.21856735293716,-0.51959321515146
